trip_duration_days,miles_traveled,total_receipts_amount,expected_output,model_output,abs_error
2098.07,11,916.0,1036.91,1053.244578615133,16.33457861513284
1624.11,10,358.0,2066.62,1907.0528772124926,159.5671227875073
1752.03,12,566.0,2013.7,2057.5736354952182,43.873635495218196
2024.2,9,954.0,1483.39,1389.7115183335407,93.67848166645945
1624.87,9,534.0,1929.94,1805.535558484444,124.40444151555607
1953.03,12,765.0,1343.97,1424.3308057503814,80.36080575038136
1388.05,8,630.0,967.69,872.7476941137081,94.94230588629193
1505.19,10,909.0,696.0,776.1344188881634,80.1344188881634
1037.45,10,223.0,745.89,607.180914173058,138.709085826942
1483.33,8,467.0,1178.71,1403.9772318683536,225.26723186835352
1110.6,9,708.0,461.07,386.03489491336217,75.03510508663783
1694.37,9,885.0,1764.97,1707.9906209073383,56.9793790926617
1339.72,6,855.0,591.35,539.475118151251,51.874881848749055
715.19,2,993.0,54.24,174.94385519249627,120.70385519249626
1216.36,5,685.0,747.14,677.7573221782836,69.38267782171636
1502.49,5,770.0,873.33,1084.4783077636034,211.14830776360338
1237.71,6,697.0,651.64,538.8037475229703,112.83625247702969
743.94,3,795.0,450.85,481.85064098051214,31.000640980512117
1364.54,3,606.0,1184.23,1326.5550358377432,142.32503583774314
1251.14,3,842.0,865.37,909.7803189319033,44.41031893190325
971.31,7,748.0,241.73,319.79522172620113,78.06522172620114
905.79,7,624.0,148.16,294.2519607536693,146.09196075366933
1515.99,3,874.0,1191.4,1462.8847787905104,271.4847787905103
1120.1,6,761.0,530.19,416.3981171729395,113.79188282706053
539.36,1,815.0,97.89,149.29092690650785,51.40092690650785
644.12,1,601.0,497.7,530.1549524116581,32.4549524116581
1809.91,7,817.0,1127.87,1356.544468470662,228.67446847066208
1050.05,1,606.0,923.0,894.5947830203573,28.40521697964266
866.07,1,909.0,741.82,678.1432975412666,63.676702458733416
1459.34,3,624.0,1160.92,1600.6265361874919,439.7065361874918
676.38,4,650.0,619.49,522.5638729078199,96.92612709218008
628.4,6,204.0,818.99,689.7213611175202,129.26863888247976
198.42,1,263.0,396.49,359.7827669431228,36.707233056877214
162.18,1,451.0,555.49,456.08057462572486,99.40942537427514
831.96,10,424.0,474.99,383.8418708540526,91.1481291459474
415.96,2,565.0,389.49,462.27457620131247,72.78457620131246
913.29,9,397.0,348.49,416.5390499441911,68.0490499441911
355.57,1,532.0,413.99,438.14224908885797,24.152249088857957
290.36,2,384.0,495.49,393.03008899640605,102.45991100359396
765.13,5,754.0,489.99,391.63601022417333,98.35398977582668
707.88,1,344.46,813.85,717.0393810261165,96.81061897388349
848.42,3,906.3,540.03,425.79246555326694,114.23753444673304
764.64,3,1007.56,187.52,259.07876501068915,71.55876501068914
255.57,1,359.62,221.15,314.25701506263175,93.10701506263175
636.51,1,362.79,749.19,676.8322463460541,72.3577536539459
303.94,1,288.72,159.26,331.36004400507477,172.10004400507478
1165.44,2,782.17,830.72,901.1880985542215,70.46809855422146
625.15,2,623.18,347.54,321.32286529518484,26.21713470481518
693.36,3,1061.15,388.5,323.0039618510044,65.49603814899558
779.08,3,1020.39,250.62,276.9612328109799,26.341232810979875
992.4,3,1025.03,592.55,456.1902210373251,136.35977896267485
671.06,2,794.32,402.31,453.47101716567096,51.161017165670955
361.66,1,276.85,485.54,400.9278685010827,84.61213149891734
650.68,2,851.68,473.96,416.8963366277849,57.0636633722151
960.47,3,859.12,611.07,504.0060610844824,107.06393891551767
787.42,3,1317.07,476.87,448.7189581143126,28.15104188568739
741.46,1,388.1,827.37,753.2930824775108,74.07691752248923
636.19,1,264.39,758.27,733.7469738765573,24.52302612344272
807.48,5,198.21,594.83,509.62059697797145,85.2094030220286
666.59,6,72.85,457.75,407.5858673008457,50.16413269915432
835.08,8,297.64,481.09,429.12290896473945,51.96709103526052
1452.17,7,237.33,1262.27,1384.3478506692772,122.07785066927727
511.23,5,195.73,1228.49,927.5210522666094,300.96894773339056
1522.6,8,276.28,1179.9,1469.7771275092873,289.8771275092872
880.41,8,266.87,252.08,506.94414289193236,254.86414289193235
828.16,9,310.69,239.64,298.17682192041474,58.53682192041475
1031.34,6,222.08,709.07,693.4125471047663,15.657452895233746
1019.85,8,264.94,720.67,569.9966150567845,150.6733849432154
1499.24,8,161.15,1230.37,1375.073961386147,144.70396138614706
835.54,9,259.96,554.74,450.56272148879276,104.17727851120725
850.57,9,97.85,518.56,485.6293937023315,32.93060629766842
1374.9,9,194.34,1054.93,1005.6262517795764,49.3037482204237
830.45,9,332.35,374.61,300.5084459436138,74.10155405638619
845.35,5,126.44,696.14,647.7391034108118,48.400896589188164
1050.25,5,66.13,848.03,939.3126222563343,91.28262225633432
1478.11,6,135.34,1144.13,1675.468855228097,531.3388552280969
648.57,6,233.7,346.98,427.576009290091,80.59600929009099
1785.47,9,849.0,1007.41,1302.4326532751745,295.02265327517455
2016.46,8,891.0,1194.36,1239.863001143899,45.503001143899155
2164.15,9,1182.0,1342.24,1284.6095059632019,57.630494036798154
2063.98,7,1010.0,1514.03,1460.774953145364,53.25504685463602
1902.37,8,892.0,1768.53,1690.3742610330858,78.15573896691421
1817.77,6,825.0,1692.73,1680.6631549057229,12.066845094277141
1857.04,8,1064.0,1756.52,1695.2519647375443,61.26803526245567
1771.8,6,811.0,1252.04,1544.855466543201,292.81546654320096
1826.08,7,889.0,1417.96,1534.3457013980856,116.38570139808553
1880.76,9,1012.0,1429.04,1529.618521999605,100.57852199960507
1720.21,6,909.0,1332.18,1597.403122967389,265.2231229673889
1894.85,9,1096.0,1690.22,1887.4926153196475,197.27261531964746
1964.86,9,913.0,1021.29,1340.930292147642,319.64029214764196
1803.97,6,1006.0,1219.71,1438.5497063016362,218.83970630163617
1737.86,6,907.0,1650.17,1718.1237194331377,67.95371943313762
1780.58,9,816.0,1171.81,1257.9722344119082,86.16223441190823
2279.82,7,1006.0,1181.33,1155.840059743918,25.489940256082036
1765.79,6,835.0,1404.28,1534.8546594351046,130.57465943510465
1662.88,12,528.0,2476.41,2112.164940737584,364.2450592624159
322.0,4,69.0,2321.49,2156.042777020449,165.4472229795506
1550.55,11,1179.0,31.36,211.06050429518382,179.7005042951838
1793.07,13,756.0,954.4,1062.551360039542,108.15136003954206
1171.68,1,123.0,2076.65,1932.3808641139929,144.26913588600723
1434.71,3,1162.0,2152.66,2085.6343087761493,67.02569122385057
1374.91,1,822.0,2170.53,1822.067905182047,348.46209481795313
1823.47,11,558.0,1549.86,1666.3046370960828,116.44463709608294
1353.87,2,753.0,1111.16,1330.8217753104536,219.66177531045355
794.7,10,224.0,407.51,378.02382182924765,29.48617817075234
800.3,6,383.0,462.79,366.1473999067272,96.64260009327285
1987.39,8,1005.0,1391.37,1445.1573546355953,53.78735463559542
1366.61,10,1145.0,311.43,263.5879567021192,47.84204329788082
1743.85,5,1004.0,2367.63,2207.958343194163,159.6716568058373
1676.79,5,873.0,1402.35,1488.0091124458884,85.65911244588847
1273.45,2,165.0,1813.32,1853.2629724654225,39.9429724654226
879.65,5,1076.0,190.33,283.5506118639071,93.22061186390707
1760.0,12,986.0,2390.92,2375.8356437194375,15.084356280562588
1578.97,7,948.0,657.17,803.7160377704216,146.54603777042166
1411.95,3,429.0,2400.13,2104.525457373346,295.60454262665417
788.53,4,362.0,646.43,546.2207607128545,100.20923928714546
1494.23,2,622.0,1871.56,1915.1581067433603,43.598106743360404
150.34,1,140.0,255.99,132.27538784874517,123.71461215125484
851.24,8,123.0,612.55,547.7828180115097,64.76718198849028
1413.52,4,87.0,2463.92,2235.631374894074,228.28862510592626
1516.43,10,164.0,1144.9,1269.266776594787,124.36677659478687
1439.17,1,989.0,2196.84,2142.2630387322934,54.57696126770679
1092.94,1,37.0,1397.17,1568.2548595297837,171.08485952978367
1780.07,12,757.0,897.4,1081.9190555206208,184.51905552062078
1342.39,2,456.0,2390.7,2133.286247486374,257.4137525136257
771.83,5,733.0,41.18,193.8703250793625,152.69032507936248
1477.12,5,291.0,1279.7,1431.3956571080457,151.69565710804568
1568.41,10,478.0,2091.79,1962.095202142267,129.69479785773296
1847.26,8,817.0,1455.73,1518.6137966121512,62.88379661215117
1807.42,6,1043.0,1404.35,1481.2153626441334,76.86536264413348
1549.54,2,958.0,1855.58,1898.408857551659,42.828857551658984
935.4,9,524.0,474.75,357.88032840666057,116.86967159333943
522.58,6,45.0,81.59,156.70327414119777,75.11327414119776
1502.02,8,342.0,2259.06,1940.4886112271568,318.5713887728432
1682.98,12,379.0,1897.29,1746.2387700366476,151.0512299633524
1585.02,6,333.0,1254.68,1343.045406328464,88.3654063284639
1490.51,2,634.0,1739.81,1881.2313994187875,141.4213994187876
1282.84,5,285.0,974.73,1020.1534183510522,45.42341835105219
1707.38,12,33.0,1249.13,1314.4451054127328,65.31510541273269
1539.77,9,118.0,1285.82,1550.27600078969,264.45600078969005
1220.35,1,420.0,2273.6,1989.9032707529618,283.6967292470381
1586.22,11,312.0,2072.39,1918.5034934929556,153.88650650704426
1779.08,10,753.0,2054.02,1807.971049790897,246.04895020910294
570.99,5,125.0,96.38,193.69008991991996,97.31008991991996
1395.65,6,597.0,888.84,874.91749481286,13.922505187140018
1408.25,12,1065.0,203.2,241.9722072406021,38.772207240602114
402.81,1,214.0,540.03,381.21612293702344,158.81387706297653
1852.24,11,886.0,922.66,1300.2859803042038,377.62598030420384
1656.28,10,621.0,978.73,1356.1863738331724,377.4563738331724
1699.56,4,1000.0,2355.34,2251.479556097392,103.86044390260804
1881.36,13,534.0,1765.96,1706.6519791034507,59.30802089654935
1671.23,6,475.0,1800.71,1840.3291095597704,39.61910955977032
1739.18,11,623.0,2265.21,2160.003711565253,105.20628843474697
1112.02,1,620.0,973.91,957.2611546508624,16.64884534913756
1960.67,13,1004.0,1757.75,1699.113138335641,58.636861664359
1897.19,8,962.0,1929.63,1790.2323536367949,139.39764636320524
1842.1,14,516.0,1464.67,1519.9886415338513,55.31864153385118
1873.94,11,685.0,2272.75,2113.6342243947665,159.11577560523347
540.97,3,307.0,266.21,239.4265754534907,26.78342454650928
1339.93,3,375.0,1346.21,1476.7420174861961,130.53201748619608
1567.43,4,1124.0,2177.18,2060.8094963851568,116.37050361484307
1520.73,3,779.0,2110.9,1968.1357647415416,142.76423525845848
1419.34,8,1173.0,671.25,583.8266582641867,87.42334173581332
1745.18,14,47.0,1667.14,1645.4441776493857,21.695822350614435
1539.47,3,981.0,2008.83,1884.6970581938847,124.13294180611524
1547.5,5,516.0,1450.67,1402.3455756430578,48.324424356942245
872.19,6,471.0,332.51,440.4948448738499,107.98484487384991
1432.79,2,941.0,1565.77,1724.4202448534459,158.65024485344588
837.36,10,377.0,301.96,380.13083976330927,78.17083976330929
793.58,7,273.0,285.83,333.525707203624,47.69570720362401
737.28,1,458.0,834.7,811.0053463412281,23.694653658771927
1575.52,11,772.0,932.31,1009.710027476206,77.4000274762061
1593.24,11,36.0,1541.47,1673.7478006121187,132.27780061211865
1579.73,12,211.0,1048.29,1197.5362027485362,149.24620274853623
1839.67,7,987.0,2164.1,2053.9535745377125,110.14642546228743
1599.27,9,662.0,2275.59,2073.0133276792512,202.5766723207489
1553.21,12,96.0,1164.37,1279.9659148225505,115.59591482255064
1623.81,5,569.0,1856.7,1887.9191853291968,31.219185329196762
874.99,12,128.0,477.17,458.37274725793145,18.797252742068565
1698.0,4,886.0,2401.28,2254.1321225553784,147.14787744462183
1331.53,13,19.0,807.27,790.2833794972511,16.986620502748906
1454.47,8,275.0,2347.09,1981.5125117145699,365.57748828543026
1434.42,9,963.0,588.5,677.6326235963807,89.13262359638065
1894.16,14,1056.0,2489.69,2287.315840378189,202.37415962181103
947.72,5,728.0,423.16,409.36723019265224,13.792769807347781
418.17,4,286.0,1063.49,835.0269852546891,228.46301474531094
1663.39,11,332.0,1352.48,1497.2657421224621,144.78574212246212
1494.81,12,49.0,1118.38,1255.735710772639,137.355710772639
1206.95,2,18.0,2503.46,2409.4499340623893,94.01006593761076
1930.24,14,592.0,1268.36,1322.4429635678466,54.08296356784672
875.39,3,892.0,171.32,362.5964351217068,191.2764351217068
1847.08,11,741.0,1872.39,1649.4753918870588,222.91460811294132
1819.41,14,807.0,2358.41,2087.6810201458934,270.72897985410646
1796.7,5,873.0,1584.53,1609.6244163074832,25.094416307483243
1434.84,3,1159.0,2209.44,2119.6254407254733,89.8145592745268
332.06,1,388.0,390.7,359.9413014268408,30.758698573159165
1547.5,9,576.0,1059.79,1251.7602564533865,191.97025645338658
1640.78,9,524.0,2367.12,2157.5270482854285,209.59295171457143
1559.59,10,459.0,2183.11,2020.89169618759,162.2183038124101
1097.95,4,725.0,588.9,567.8990628761685,21.000937123831477
1222.41,1,992.0,958.87,1101.3034846938438,142.43348469384375
1615.13,10,536.0,2194.42,1874.3890036620508,320.0309963379493
2143.74,11,1126.0,1593.03,1565.692086010335,27.337913989664912
1539.1,10,314.0,1098.8,1248.0676044404536,149.26760444045362
1120.22,1,9.0,2246.28,2163.0905213813035,83.18947861869674
2030.59,11,706.0,1508.23,1522.1549879160684,13.924987916068403
1775.03,10,976.0,2166.02,1987.3542681820086,178.6657318179914
1313.95,5,1028.0,653.19,603.7038914511052,49.48610854889489
1944.88,12,882.0,1958.14,1859.1309419313968,99.00905806860328
1090.35,11,448.0,732.79,654.2672892541972,78.52271074580278
303.2,3,127.0,293.49,173.35224063172322,120.13775936827679
1005.67,12,218.0,486.02,448.79222649651695,37.227773503483036
785.59,3,1166.0,530.44,440.14844121589294,90.29155878410711
830.07,11,17.0,550.58,528.747605774514,21.83239422548604
1649.49,9,696.0,1749.97,1679.135948347259,70.83405165274098
664.43,4,305.0,125.79,312.73256346751424,186.94256346751422
857.42,1,303.0,931.53,881.9933192788295,49.536680721170455
1732.12,8,1012.0,2390.84,2140.294399664119,250.54560033588132
1913.87,9,938.0,2224.29,1944.27748331643,280.01251668356986
535.67,3,471.0,288.19,269.9048127572655,18.28518724273448
1156.55,5,72.0,977.67,965.1991181926155,12.470881807384444
1642.15,10,160.0,2272.56,2241.1064238365534,31.45357616344654
1805.77,10,965.0,1851.28,1705.7906262941497,145.4893737058503
1447.95,3,266.0,2178.16,2057.7067102653,120.45328973469987
1792.31,12,734.0,2491.82,2317.3919950194027,174.4280049805975
1710.72,12,64.0,1641.01,1751.0868894424511,110.07688944245115
1674.09,9,497.0,1845.08,1798.7026877026865,46.37731229731344
1586.21,3,781.0,1801.38,1854.5977249019893,53.217724901989186
1183.16,3,158.0,1070.74,1281.6979563418697,210.9579563418697
802.96,3,1096.0,200.27,279.2717258136857,79.00172581368568
1987.44,11,1116.0,2067.8,2053.0557075391434,14.744292460856741
982.64,10,831.0,39.86,274.6924288703758,234.8324288703758
1761.68,14,124.0,1064.64,1273.2757588687216,208.6357588687215
1261.41,4,10.0,1262.73,1378.5654743032655,115.83547430326553
897.78,5,955.0,106.86,222.62809449822103,115.76809449822103
1921.16,7,1176.0,2489.13,2393.1977843907353,95.93221560926486
1012.0,6,803.0,465.6,331.6267718429062,133.97322815709384
1022.81,9,868.0,62.12,239.95194746460913,177.83194746460913
225.12,1,181.0,128.05,110.34549189537732,17.70450810462269
564.16,3,70.0,631.88,498.6902901824652,133.18970981753478
1189.47,8,1090.0,419.76,319.38575540452183,100.37424459547816
1365.21,1,735.0,1676.9,1590.5375677851205,86.36243221487962
509.52,2,547.0,119.09,236.47097507549893,117.38097507549892
949.34,11,265.0,218.66,443.4880803956816,224.8280803956816
1305.54,10,223.0,886.32,872.708885401282,13.611114598718018
1833.24,12,959.0,1947.82,1880.438402629487,67.38159737051296
1793.52,11,498.0,1578.39,1661.0381103073535,82.64811030735336
1688.9,14,127.0,988.4,1103.0327802949334,114.63278029493347
779.66,3,621.0,214.08,328.10049722545625,114.02049722545624
1839.47,6,1193.0,2241.5,2207.284773022792,34.215226977208204
1497.46,4,448.0,2055.97,2001.4637928930983,54.506207106901456
1558.12,8,466.0,2064.63,1924.544506419993,140.0854935800071
1696.65,12,229.0,1216.16,1527.4329005107586,311.2729005107585
1573.12,13,658.0,559.48,712.0880499897752,152.60804998977517
1842.24,13,1034.0,2477.98,2207.354639144395,270.62536085560487
1611.66,4,842.0,2464.29,2235.5319752319806,228.75802476801937
1921.68,13,837.0,1218.93,1277.6204478065251,58.69044780652507
1804.68,11,927.0,1306.37,1518.9796238077558,212.60962380775595
1605.84,4,1047.0,1657.68,1608.7102950311516,48.96970496884842
1435.34,4,262.0,1681.28,1806.1647343775667,124.8847343775667
2014.72,7,1126.0,1103.75,1269.2544060503506,165.50440605035055
1125.36,5,781.0,672.91,524.7121756297468,148.19782437025322
1090.31,5,831.0,591.65,479.23095914107853,112.41904085892145
2132.85,7,1089.0,1026.25,1073.511262235243,47.261262235243066
1421.36,1,793.0,2171.07,2103.9159645962204,67.15403540377974
847.33,9,368.0,495.12,409.26922277074885,85.85077722925115
1704.06,6,818.0,1130.38,1275.158391444088,144.7783914440879
1349.04,2,267.0,2116.93,2004.5873388210807,112.34266117891912
1844.58,10,1083.0,2105.36,2094.62249334278,10.73750665721991
2015.18,13,529.0,1767.79,1828.2154004816557,60.42540048165574
2248.12,9,1155.0,1346.4,1317.6431287268804,28.756871273119714
2072.18,7,1185.0,1768.01,1690.324055827147,77.68594417285294
1777.14,5,763.0,1420.94,1546.9468706865898,126.00687068658976
1550.04,7,368.0,1231.69,1336.9545065849416,105.2645065849415
972.58,6,659.0,322.1,389.76089064409234,67.66089064409232
1696.86,14,1138.0,518.18,688.5225080131878,170.34250801318785
1603.89,6,172.0,1977.78,1966.9645180877199,10.81548191228012
903.3,6,628.0,311.47,357.194074134833,45.72407413483296
1264.53,2,500.0,1246.48,1346.8957172972498,100.41571729724978
1422.12,8,7.0,2075.6,1995.753499076335,79.84650092366496
1696.72,5,942.0,2092.87,1955.0639592138768,137.80604078612305
1589.65,12,81.0,2485.34,2178.666189691797,306.673810308203
866.18,4,166.0,791.52,664.0559645524945,127.46403544750547
1344.71,3,213.0,1724.85,1826.1550931761492,101.30509317614928
1175.65,11,1004.0,167.15,227.18004486693295,60.03004486693294
624.04,5,116.0,478.1,405.5034761763602,72.59652382363981
1807.67,13,112.0,2299.56,2277.4069891616955,22.153010838304454
1134.47,1,43.0,2149.22,2077.3906602599063,71.82933974009347
1531.2,2,660.0,1944.4,2004.8677591603837,60.467759160383594
1171.54,10,888.0,298.68,235.47939310673542,63.20060689326459
1759.97,10,860.0,2380.76,2290.128367814191,90.6316321858094
2013.21,10,1187.0,1981.09,1807.8324414297551,173.25755857024478
1314.3,12,1139.0,124.65,156.71479287451353,32.06479287451353
927.98,5,966.0,359.51,383.51140521022444,24.001405210224448
1515.54,9,72.0,1281.32,1486.714122973642,205.39412297364197
1638.66,10,215.0,2440.91,2102.7565011662596,338.1534988337403
1703.2,7,671.0,1297.02,1485.3298549242252,188.3098549242252
538.36,5,230.0,333.69,381.4984610158788,47.80846101587878
1549.82,5,467.0,1243.31,1339.7995349328648,96.4895349328649
1705.9,13,247.0,2339.61,2115.6949312696142,223.91506873038588
1837.25,14,777.0,1248.61,1351.3932657518953,102.78326575189544
902.09,11,740.0,1171.99,798.8973867827547,373.09261321724534
1792.88,5,789.0,1853.31,1828.8353860380878,24.474613961912155
784.52,4,825.0,874.99,680.4431850710635,194.54681492893656
731.28,2,301.0,769.23,655.4584854765834,113.77151452341661
1925.32,12,1007.0,1353.77,1379.2519465261612,25.48194652616121
1202.46,5,865.0,644.79,588.5982929619264,56.19170703807356
1682.62,14,81.0,1251.97,1291.448552712083,39.478552712083
1752.18,8,1159.0,2175.27,2155.905872971089,19.364127028910843
1152.99,11,496.0,373.98,498.78647910847906,124.80647910847904
1362.39,1,752.0,1632.35,1590.5375677851205,41.812432214879436
1749.31,5,1014.0,1853.57,2036.0909540295816,182.52095402958162
972.95,9,686.0,145.66,338.1228663775872,192.46286637758718
1724.68,5,654.0,1272.89,1543.859054944039,270.9690549440388
1593.12,8,621.0,2391.34,1948.0404921878467,443.2995078121535
1306.91,9,1080.0,539.51,491.14974303661893,48.36025696338106
1067.81,10,714.0,269.06,356.95307965543196,87.89307965543196
1872.81,10,816.0,1425.64,1524.3427096487894,98.70270964878932
2239.35,14,1122.0,1766.25,1737.3275890486882,28.922410951311804
1501.24,4,1202.0,1074.87,1135.3824026779748,60.51240267797493
1682.08,5,651.0,1573.3,1596.8483447633782,23.54834476337828
1265.57,14,1100.0,237.69,161.85682472076573,75.83317527923427
924.9,14,296.0,485.68,413.6264542839278,72.05354571607222
1421.07,1,697.0,2148.5,2038.4854455644697,110.01455443553027
1133.45,6,1044.0,47.46,239.12286703851998,191.66286703851998
1755.18,12,398.0,2481.44,2168.9726582180497,312.4673417819504
1345.66,3,139.0,2428.89,2145.2747611421883,283.6152388578116
1367.64,2,423.0,1639.17,1684.439919930315,45.26991993031493
1872.44,11,815.0,2385.6,2100.404953174373,285.19504682562683
1257.31,6,577.0,897.74,805.0248234188007,92.71517658119933
1461.33,8,200.0,1508.89,1537.1156298041378,28.225629804137725
1455.85,9,1102.0,540.6,666.6141871865866,126.01418718658658
1770.91,12,508.0,1970.54,1786.7921036250063,183.74789637499362
2097.69,13,1024.0,1712.85,1551.0043852761935,161.84561472380642
1862.45,7,1161.0,1499.97,1526.3457969454198,26.37579694541978
624.78,2,730.0,285.24,321.89714914397047,36.65714914397046
1956.89,13,996.0,1809.2,1727.0209239385144,82.1790760614856
1673.89,5,1160.0,1901.83,1815.5611604467606,86.26883955323933
1798.47,14,191.0,2442.76,2315.7923356779756,126.96766432202458
1826.93,7,776.0,2447.82,2256.33583741042,191.48416258958014
1918.89,14,414.0,1919.7,1896.7298602351998,22.97013976480025
1851.7,7,847.0,1994.62,1866.8546494532811,127.76535054671876
1871.76,6,924.0,1227.21,1294.2275611966434,67.01756119664333
1489.99,2,933.0,1589.58,1702.4025821523446,112.8225821523447
891.9,1,211.0,958.08,923.3503900271832,34.72960997281689
1837.11,10,773.0,865.92,1077.8594863681083,211.9394863681083
1229.87,3,196.0,1211.68,1302.0884599346737,90.4084599346736
1480.87,14,49.0,954.02,929.488102902712,24.531897097288038
935.38,5,477.0,655.24,504.11727198649965,151.12272801350036
1649.04,11,458.0,1364.29,1702.3324061170697,338.04240611706973
1279.31,3,289.0,1245.67,1388.9169373618042,143.24693736180416
1664.83,5,1085.0,2486.43,2302.4247798612214,184.00522013877844
1473.75,8,415.0,1214.97,1461.0416693188863,246.07166931888628
1114.9,6,425.0,709.75,683.7944856103123,25.955514389687664
1637.65,7,313.0,2408.02,2374.8877460589188,33.13225394108122
897.26,13,235.0,426.07,352.9094640855109,73.16053591448912
1630.66,7,635.0,1406.31,1426.803609018877,20.493609018877123
1889.87,10,1009.0,2164.22,1923.8579016070837,240.3620983929161
748.57,3,692.0,450.7,432.61375393214655,18.086246067853438
1013.78,2,91.0,1073.76,1085.3629170889126,11.60291708891259
2047.06,8,1187.0,1045.91,1288.0476341464678,242.1376341464677
1847.84,14,600.0,1120.05,1282.8445960234828,162.79459602348288
483.34,5,210.0,710.49,563.5443748369129,146.94562516308713
1564.9,12,10.0,1203.1,1261.3662016370156,58.26620163701568
282.89,1,452.0,275.05,336.5319108426779,61.481910842677905
1476.03,4,256.0,2218.74,2062.0143656893274,156.72563431067238
1557.27,8,312.0,2383.17,2218.5521871808282,164.61781281917183
1237.62,2,1175.0,816.2,879.1159152148106,62.915915214810525
1248.46,11,960.0,383.64,288.41094251427336,95.22905748572663
1559.83,6,690.0,1009.37,1133.4073022764737,124.03730227647372
1516.68,14,487.0,579.29,734.1488638664699,154.85886386646996
593.83,8,75.0,315.71,348.7428435611063,33.03284356110635
1017.64,13,360.0,271.93,344.5067395182682,72.5767395182682
1916.37,11,708.0,1871.77,1897.2995638655468,25.529563865546834
384.77,3,182.0,347.82,298.16620175201996,49.653798247980035
1643.68,10,683.0,2442.92,2175.5836971840854,267.3363028159147
1465.72,5,392.0,1264.6,1440.5139866784982,175.9139866784983
1635.5,10,175.0,1443.25,1737.2954259593187,294.04542595931866
1603.6,7,577.0,1959.13,1744.5628867601085,214.56711323989157
1793.36,13,799.0,951.92,1066.4571920811259,114.53719208112591
1170.54,13,608.0,370.89,386.3677830672821,15.477783067282132
686.23,7,194.0,202.49,255.6392297931871,53.14922979318709
1394.38,13,889.0,232.72,218.33346145051695,14.386538549483049
1222.6,7,901.0,136.8,279.7778724998434,142.9778724998434
1398.75,1,698.0,1525.82,1565.0436176366345,39.22361763663457
1235.69,9,592.0,793.55,673.2272171497641,120.32278285023585
1846.41,14,1015.0,871.76,1132.5024810537018,260.7424810537018
848.89,9,524.0,136.46,354.32153232396166,217.86153232396165
1789.85,5,781.0,2114.27,2060.6464088692173,53.62359113078264
494.63,3,200.0,58.24,198.38506648363094,140.14506648363093
1649.42,5,503.0,2335.55,2167.8047007455443,167.74529925445586
1872.89,11,667.0,2221.67,2057.7385219761945,163.93147802380554
1691.68,7,336.0,1843.58,1946.8960475825359,103.31604758253593
